Data;Categorie;Costo
30/09/2019;Cibo;11
29/09/2019;Cena fuori;37
26/09/2019;Casalinghi;1,8
24/09/2019;Cena fuori;14
17/09/2019;Cibo;3
15/09/2019;Cibo;26
15/09/2019;Generali;12,1
11/09/2019;Generali;3,9
10/09/2019;Generali;10
10/09/2019;Cibo;9
10/09/2019;Pagamento;21,5
09/09/2019;Cena fuori;10
07/09/2019;Generali;6,5
06/09/2019;Cibo;2
03/09/2019;Cibo;2,09
03/09/2019;Cibo;1
01/09/2019;Cibo;13
01/09/2019;Cibo;3
30/08/2019;Cibo;2,04
30/08/2019;Cibo;6
30/08/2019;Cibo;2
29/08/2019;Cibo;2
29/08/2019;Cena fuori;6
27/08/2019;Cibo;3,25
27/08/2019;Cibo;1,3
27/08/2019;Cibo;3,6
26/08/2019;Cena fuori;15,5
25/07/2019;Generali;0,63
22/07/2019;Cibo;9
21/07/2019;Cibo;2,6
19/07/2019;Cena fuori;14
19/07/2019;Cibo;4,6
19/07/2019;Cibo;1,89
16/07/2019;Cibo;12,62
15/07/2019;Cena fuori;4
14/07/2019;Cibo;12
12/07/2019;Cibo;2
11/07/2019;Cena fuori;5
09/07/2019;Cibo;1,5
09/07/2019;Cibo;5
08/07/2019;Cibo;0,9
08/07/2019;Pagamento;3,98
08/07/2019;Cibo;3
07/07/2019;Cibo;6,4
06/07/2019;Cibo;3,05
05/07/2019;Pagamento;10
30/06/2019;Cena fuori;7
30/06/2019;Pagamento;23,5
30/06/2019;Cena fuori;10
24/06/2019;Cena fuori;7
21/06/2019;Cibo;6
21/06/2019;Cibo;2
20/06/2019;Cibo;6
12/06/2019;Generali;6
07/06/2019;Cibo;16
07/06/2019;Pagamento;20
06/06/2019;Cibo;4
05/06/2019;Pagamento;11
02/06/2019;Cena fuori;4
29/05/2019;Cibo;5
26/05/2019;Generali;4
26/05/2019;Cibo;2,5
24/05/2019;Casalinghi;5
24/05/2019;Generali;14
23/05/2019;Cibo;1,5
22/05/2019;Pagamento;12,39
20/05/2019;Cibo;1,39
20/05/2019;Casalinghi;2
15/05/2019;Cibo;9
09/05/2019;Pagamento;5
09/05/2019;Pagamento;0,08
07/05/2019;Cibo;5
04/05/2019;Casalinghi;3,9
04/05/2019;Cibo;3,05
04/05/2019;Casalinghi;3
17/04/2019;Generali;5
16/04/2019;Cibo;5
15/04/2019;Cibo;2
12/04/2019;Cibo;3
03/04/2019;Cibo;4
26/03/2019;Cibo;1,5
25/03/2019;Cibo;2
23/03/2019;Cibo;7,7
23/03/2019;Cibo;3,5
21/03/2019;Cibo;0,5
21/03/2019;Cena fuori;4
19/03/2019;Cibo;1,5
19/03/2019;Cibo;1,4
14/03/2019;Generali;7
14/03/2019;Generali;4
12/03/2019;Cibo;2,5
09/03/2019;Cena fuori;10
09/03/2019;Casalinghi;4
08/03/2019;Cibo;3
06/03/2019;Cibo;1,3
03/03/2019;Cibo;1,3
02/03/2019;Pagamento;11,9
02/03/2019;Cibo;4
23/02/2019;Cibo;8,6
22/02/2019;Cibo;7
21/02/2019;Cena fuori;2,5
21/02/2019;Cena fuori;10
20/02/2019;Cibo;5
20/02/2019;Generali;6,2
20/02/2019;Cibo;8,4
20/02/2019;Casalinghi;4
20/02/2019;Generali;2
20/02/2019;Cibo;6,6
18/02/2019;Cibo;6
17/02/2019;Cena fuori;6
16/02/2019;Cibo;13
06/02/2019;Cena fuori;5
02/02/2019;Cibo;4
01/02/2019;Cibo;2,5
25/01/2019;Cena fuori;3
25/01/2019;Cibo;2,3
22/01/2019;Pagamento;3,5
22/01/2019;Cibo;4
20/01/2019;Cena fuori;6
11/01/2019;Cibo;6
10/01/2019;Cibo;7
09/01/2019;Pagamento;2,27
04/01/2019;Cibo;3,35
04/01/2019;Cena fuori;10,5
03/01/2019;Cena fuori;9
01/01/2019;Generali;8
31/12/2018;Cibo;3,5
31/12/2018;Generali;14,85
17/12/2018;Cibo;4,5
14/12/2018;Generali;20
14/12/2018;Cibo;4
13/12/2018;Cena fuori;14
13/12/2018;Cibo;1,4
13/12/2018;Cibo;5
11/12/2018;Cibo;2,1
09/12/2018;Cibo;7
09/12/2018;Cena fuori;9
07/12/2018;Cena fuori;13
06/12/2018;Pagamento;16,38
05/12/2018;Cena fuori;20
03/12/2018;Intrattenimento - Altro;10
03/12/2018;Cibo;1,6
03/12/2018;Cibo;1,8
27/11/2018;Cibo;1,7
25/11/2018;Generali;0,45
24/11/2018;Cena fuori;11,5
24/11/2018;Cibo;6
24/11/2018;Cibo;3,62
23/11/2018;Generali;11,5
20/11/2018;Pagamento;2,36
18/11/2018;Cibo;13,8
16/11/2018;Generali;20
16/11/2018;Cibo;7,8
15/11/2018;Cibo;2,88
15/11/2018;Generali;4
12/11/2018;Cena fuori;13
12/11/2018;Cibo;6
11/11/2018;Cibo;10,55
10/11/2018;Cibo;0,99
09/11/2018;Cibo;2
06/11/2018;Cena fuori;11
03/11/2018;Generali;8
01/11/2018;Generali;5
30/10/2018;Pagamento;7,27
30/10/2018;Cibo;2,94
27/10/2018;Cibo;1,89
27/10/2018;Cibo;2,7
25/10/2018;Cena fuori;4,8
22/10/2018;Cibo;6,57
21/10/2018;Cibo;5,6
19/10/2018;Cena fuori;9
18/10/2018;Cibo;1,83
16/10/2018;Cibo;18
16/10/2018;Regali;5
16/10/2018;Cena fuori;5
03/10/2018;Cibo;3
02/10/2018;Cibo;6,68
01/10/2018;Cibo;4
30/09/2018;Pagamento;9
29/09/2018;Cibo;2
29/09/2018;Cibo;4,15
28/09/2018;Pagamento;0,01
27/09/2018;Cena fuori;12
25/09/2018;Cena fuori;2,6
20/09/2018;Cena fuori;2,66
18/09/2018;Cibo;10
16/09/2018;Generali;5,6
16/09/2018;Cena fuori;12,7
13/09/2018;Generali;10
12/09/2018;Cibo;6
02/09/2018;Cibo;0,5
31/08/2018;Cibo;3,5
30/08/2018;Pagamento;5
29/08/2018;Generali;5
24/08/2018;Pagamento;43,06
22/08/2018;Generali;20
06/08/2018;Generali;19,8
06/08/2018;Generali;38,8
25/07/2018;Generali;2,5
20/07/2018;Cibo;10
20/07/2018;Cibo;3,26
18/07/2018;Cibo;13
12/07/2018;Pagamento;3,38
09/07/2018;Generali;20
08/07/2018;Cena fuori;35
08/07/2018;Cena fuori;15
05/07/2018;Generali;10
04/07/2018;Cibo;3,7
03/07/2018;Cena fuori;2,5
03/07/2018;Generali;20
01/07/2018;Cibo;1
28/06/2018;Cena fuori;10
28/06/2018;Cena fuori;5,5
28/06/2018;Cibo;1
27/06/2018;Cibo;1,03
26/06/2018;Cibo;3,34
25/06/2018;Cibo;2
23/06/2018;Cibo;2,98
22/06/2018;Cibo;1
22/06/2018;Cibo;0,5
21/06/2018;Cena fuori;12
19/06/2018;Pagamento;10,94
19/06/2018;Generali;10
17/06/2018;Cibo;7,84
17/06/2018;Cena fuori;10
15/06/2018;Cibo;5,32
12/06/2018;Cena fuori;4,6
10/06/2018;Cena fuori;2
10/06/2018;Cibo;16,5
09/06/2018;Cena fuori;10
06/06/2018;Cena fuori;2,5
04/06/2018;Cibo;3
04/06/2018;Cibo;2
02/06/2018;Pagamento;5,1
02/06/2018;Cibo;8
30/05/2018;Pagamento;10
29/05/2018;Generali;40
28/05/2018;Cibo;50
26/05/2018;Cibo;5
20/05/2018;Cena fuori;4
20/05/2018;Cibo;5,9
18/05/2018;Pagamento;6,34
15/05/2018;Cibo;1,7
12/05/2018;Cibo;6,55
08/05/2018;Cibo;11
07/05/2018;Generali;12
03/05/2018;Cibo;7
03/05/2018;Cibo;2
02/05/2018;Cena fuori;12
30/04/2018;Cibo;2,28
30/04/2018;Generali;30
28/04/2018;Pagamento;0,02
28/04/2018;Generali;31,55
26/04/2018;Generali;20
24/04/2018;Cibo;25
22/04/2018;Generali;10
21/04/2018;Cena fuori;4
19/04/2018;Cibo;6,8
18/04/2018;Pagamento;49,17
18/04/2018;Cibo;2,68
16/04/2018;Cibo;15,63
13/04/2018;Cena fuori;7,5
12/04/2018;Cibo;16,41
12/04/2018;Generali;2
11/04/2018;Cibo;2,5
07/04/2018;Cibo;12,5
28/03/2018;Cibo;14
25/03/2018;Cena fuori;7
24/03/2018;Cibo;4,34
22/03/2018;Cibo;2,6
19/03/2018;Cibo;4,45
18/03/2018;Generali;10
17/03/2018;Regali;5
16/03/2018;Generali;10
11/03/2018;Cibo;2,5
11/03/2018;Generali;2,4
11/03/2018;Cena fuori;14
10/03/2018;Cibo;9
10/03/2018;Viaggio;6
10/03/2018;Cibo;24
10/03/2018;Cena fuori;5
10/03/2018;Cena fuori;7
09/03/2018;Cibo;2,5
08/03/2018;Cena fuori;9
08/03/2018;Cibo;2,7
24/02/2018;Cibo;14
22/02/2018;Cibo;8
22/02/2018;Cena fuori;12,5
18/02/2018;Cena fuori;5,5
18/02/2018;Cibo;22
15/02/2018;Cibo;7,4
25/01/2018;Cibo;4,6
22/01/2018;Cena fuori;20
17/01/2018;Cibo;8
15/01/2018;Cibo;4
13/01/2018;Cibo;2
13/01/2018;Regali;15
12/01/2018;Cena fuori;10
12/01/2018;Generali;7
09/01/2018;Generali;11,6
06/01/2018;Cibo;9
16/12/2017;Pagamento;9,75
16/12/2017;Cibo;1
16/12/2017;Generali;14
15/12/2017;Cibo;3
14/12/2017;Cibo;4,5
13/12/2017;Cibo;10
10/12/2017;Cena fuori;12,5
08/12/2017;Cena fuori;11
08/12/2017;Pagamento;15,34
05/12/2017;Cibo;5
04/12/2017;Cena fuori;6
02/12/2017;Cibo;8,84
30/11/2017;Cibo;2,5
28/11/2017;Cibo;25
28/11/2017;Cena fuori;13
26/11/2017;Cibo;11,42
24/11/2017;Cibo;25
24/11/2017;Cibo;6,7
23/11/2017;Cena fuori;5
17/11/2017;Cena fuori;13
14/11/2017;Cibo;6,28
12/11/2017;Cena fuori;12
12/11/2017;Cena fuori;5
12/11/2017;Cena fuori;10
12/11/2017;Cena fuori;1
12/11/2017;Cibo;1
08/11/2017;Generali;5
08/11/2017;Cibo;13,96
08/11/2017;Cena fuori;15
07/11/2017;Cibo;6,86
05/11/2017;Generali;20
03/11/2017;Pagamento;40
01/11/2017;Cena fuori;5,5
31/10/2017;Cibo;50
29/10/2017;Cibo;1
29/10/2017;Cibo;14,89
22/10/2017;Cena fuori;14,5
21/10/2017;Cibo;7
17/10/2017;Cibo;10
;;
;;
