Data;Categorie;Costo;mese;anno
21/01/2020;Cibo;3,9;01;2020
20/01/2020;Cena fuori;11;01;2020
18/01/2020;Cibo;6;01;2020
15/01/2020;Cibo;3,5;01;2020
10/01/2020;Cibo;5;01;2020
06/01/2020;Generali;20;01;2020
05/01/2020;Cibo;12;01;2020
04/01/2020;Generali;8;01;2020
04/01/2020;Viaggio;3;01;2020
04/01/2020;Cena fuori;11;01;2020
02/01/2020;Generali;32,7;01;2020
02/01/2020;Generali;20,7;01;2020
01/01/2020;Viaggio;24;01;2020
01/01/2020;Cena fuori;13;01;2020
01/01/2020;Generali;7;01;2020
31/12/2019;Viaggio;72;12;2019
31/12/2019;Cibo;12;12;2019
31/12/2019;Cena fuori;14;12;2019
31/12/2019;Viaggio;1;12;2019
20/12/2019;Generali;18;12;2019
20/12/2019;Cena fuori;38;12;2019
14/12/2019;Cibo;8;12;2019
14/12/2019;Regali;10;12;2019
08/12/2019;Generali;1;12;2019
06/12/2019;Cibo;2;12;2019
05/12/2019;Cena fuori;5;12;2019
04/12/2019;Cena fuori;38;12;2019
26/11/2019;Cibo;9;11;2019
25/11/2019;Cibo;4,5;11;2019
24/11/2019;Cibo;12;11;2019
23/11/2019;Pagamento;11,93;11;2019
22/11/2019;Cena fuori;4,14;11;2019
22/11/2019;Generali;2;11;2019
19/11/2019;Generali;9;11;2019
17/11/2019;Cena fuori;7;11;2019
15/11/2019;Generali;1,6;11;2019
13/11/2019;Generali;20;11;2019
13/11/2019;Pagamento;2,36;11;2019
13/11/2019;Cibo;7,5;11;2019
13/11/2019;Casalinghi;5,9;11;2019
09/11/2019;Cibo;3,7;11;2019
08/11/2019;Cibo;11;11;2019
06/11/2019;Cibo;4,22;11;2019
05/11/2019;Generali;10;11;2019
04/11/2019;Cibo;3,13;11;2019
03/11/2019;Cibo;2;11;2019
02/11/2019;Cena fuori;11,5;11;2019
30/10/2019;Cibo;1;10;2019
30/10/2019;Cibo;5;10;2019
29/10/2019;Cibo;2;10;2019
29/10/2019;Generali;2;10;2019
29/10/2019;Generali;7;10;2019
26/10/2019;Cena fuori;5,5;10;2019
26/10/2019;Cena fuori;15;10;2019
24/10/2019;Pagamento;27,5;10;2019
15/10/2019;Taxi;18;10;2019
14/10/2019;Generali;35;10;2019
13/10/2019;Cibo;9,2;10;2019
10/10/2019;Casalinghi;10;10;2019
05/10/2019;Generali;40;10;2019
03/10/2019;Cena fuori;12;10;2019
03/10/2019;Generali;174;10;2019
03/10/2019;Regali;20;10;2019
03/10/2019;Viaggio;62;10;2019
02/10/2019;Cibo;4;10;2019
02/10/2019;Cibo;7;10;2019
30/09/2019;Cibo;11;09;2019
29/09/2019;Cena fuori;37;09;2019
26/09/2019;Casalinghi;1,8;09;2019
24/09/2019;Cena fuori;14;09;2019
17/09/2019;Cibo;3;09;2019
15/09/2019;Cibo;26;09;2019
15/09/2019;Generali;12,1;09;2019
11/09/2019;Generali;3,9;09;2019
10/09/2019;Generali;10;09;2019
10/09/2019;Cibo;9;09;2019
10/09/2019;Pagamento;21,5;09;2019
09/09/2019;Cena fuori;10;09;2019
07/09/2019;Generali;6,5;09;2019
06/09/2019;Cibo;2;09;2019
03/09/2019;Cibo;2,09;09;2019
03/09/2019;Cibo;1;09;2019
01/09/2019;Cibo;13;09;2019
01/09/2019;Cibo;3;09;2019
30/08/2019;Cibo;2,04;08;2019
30/08/2019;Cibo;6;08;2019
30/08/2019;Cibo;2;08;2019
29/08/2019;Cibo;2;08;2019
29/08/2019;Cena fuori;6;08;2019
27/08/2019;Cibo;3,25;08;2019
27/08/2019;Cibo;1,3;08;2019
27/08/2019;Cibo;3,6;08;2019
26/08/2019;Cena fuori;15,5;08;2019
25/07/2019;Generali;0,63;07;2019
22/07/2019;Cibo;9;07;2019
21/07/2019;Cibo;2,6;07;2019
19/07/2019;Cena fuori;14;07;2019
19/07/2019;Cibo;4,6;07;2019
19/07/2019;Cibo;1,89;07;2019
16/07/2019;Cibo;12,62;07;2019
15/07/2019;Cena fuori;4;07;2019
14/07/2019;Cibo;12;07;2019
12/07/2019;Cibo;2;07;2019
11/07/2019;Cena fuori;5;07;2019
09/07/2019;Cibo;1,5;07;2019
09/07/2019;Cibo;5;07;2019
08/07/2019;Cibo;0,9;07;2019
08/07/2019;Pagamento;3,98;07;2019
08/07/2019;Cibo;3;07;2019
07/07/2019;Cibo;6,4;07;2019
06/07/2019;Cibo;3,05;07;2019
05/07/2019;Pagamento;10;07;2019
30/06/2019;Cena fuori;7;06;2019
30/06/2019;Pagamento;23,5;06;2019
30/06/2019;Cena fuori;10;06;2019
24/06/2019;Cena fuori;7;06;2019
21/06/2019;Cibo;6;06;2019
21/06/2019;Cibo;2;06;2019
20/06/2019;Cibo;6;06;2019
12/06/2019;Generali;6;06;2019
07/06/2019;Cibo;16;06;2019
07/06/2019;Pagamento;20;06;2019
06/06/2019;Cibo;4;06;2019
05/06/2019;Pagamento;11;06;2019
02/06/2019;Cena fuori;4;06;2019
29/05/2019;Cibo;5;05;2019
26/05/2019;Generali;4;05;2019
26/05/2019;Cibo;2,5;05;2019
24/05/2019;Casalinghi;5;05;2019
24/05/2019;Generali;14;05;2019
23/05/2019;Cibo;1,5;05;2019
22/05/2019;Pagamento;12,39;05;2019
20/05/2019;Cibo;1,39;05;2019
20/05/2019;Casalinghi;2;05;2019
15/05/2019;Cibo;9;05;2019
09/05/2019;Pagamento;5;05;2019
09/05/2019;Pagamento;0,08;05;2019
07/05/2019;Cibo;5;05;2019
04/05/2019;Casalinghi;3,9;05;2019
04/05/2019;Cibo;3,05;05;2019
04/05/2019;Casalinghi;3;05;2019
17/04/2019;Generali;5;04;2019
16/04/2019;Cibo;5;04;2019
15/04/2019;Cibo;2;04;2019
12/04/2019;Cibo;3;04;2019
03/04/2019;Cibo;4;04;2019
26/03/2019;Cibo;1,5;03;2019
25/03/2019;Cibo;2;03;2019
23/03/2019;Cibo;7,7;03;2019
23/03/2019;Cibo;3,5;03;2019
21/03/2019;Cibo;0,5;03;2019
21/03/2019;Cena fuori;4;03;2019
